PJ,Parish Ward Precinct,Registered Voters (as of 10/1/24),Yet to Vote,Total Early Vote,%EV Turnout
D,PAR 36 W 07 P 15,711,474,237,0.3333333333333333
D,PAR 36 W 07 P 16,569,404,165,0.28998242530755713
A,PAR 36 W 07 P 17,624,384,240,0.38461538461538464
A,PAR 36 W 07 P 18,1111,736,375,0.33753375337533753
D,PAR 36 W 07 P 19,795,522,273,0.3433962264150943
D,PAR 36 W 07 P 20,1123,841,282,0.25111308993766696
D,PAR 36 W 07 P 21,663,507,156,0.23529411764705882
D,PAR 36 W 07 P 23,1358,891,467,0.3438880706921944
D,PAR 36 W 07 P 24,812,700,112,0.13793103448275862
D,PAR 36 W 07 P 25,731,462,269,0.3679890560875513
D,PAR 36 W 07 P 25A,560,358,202,0.3607142857142857
D,PAR 36 W 07 P 26,919,573,346,0.3764961915125136
D,PAR 36 W 07 P 27,500,344,156,0.312
D,PAR 36 W 07 P 27B,456,357,99,0.21710526315789475
D,PAR 36 W 07 P 28,624,453,171,0.27403846153846156
D,PAR 36 W 07 P 28A,703,429,274,0.38975817923186346
D,PAR 36 W 07 P 29,574,335,239,0.4163763066202091
D,PAR 36 W 07 P 30,1154,583,571,0.4948006932409012
D,PAR 36 W 07 P 32,610,296,314,0.5147540983606558
D,PAR 36 W 07 P 33,706,405,301,0.4263456090651558
D,PAR 36 W 07 P 35,1234,753,481,0.3897893030794165
D,PAR 36 W 07 P 37,973,640,333,0.34224049331963
D,PAR 36 W 07 P 37A,727,591,136,0.18707015130674004
D,PAR 36 W 07 P 40,1352,727,625,0.46227810650887574
D,PAR 36 W 07 P 41,477,251,226,0.47379454926624737
D,PAR 36 W 07 P 42,436,199,237,0.5435779816513762
C,PAR 36 W 08 P 01,552,386,166,0.3007246376811594
C,PAR 36 W 08 P 02,587,452,135,0.22998296422487224
C,PAR 36 W 08 P 04,480,352,128,0.26666666666666666
C,PAR 36 W 08 P 06,774,618,156,0.20155038759689922
D,PAR 36 W 08 P 07,511,423,88,0.17221135029354206
D,PAR 36 W 08 P 08,562,473,89,0.1583629893238434
D,PAR 36 W 08 P 09,909,692,217,0.23872387238723872
D,PAR 36 W 08 P 12,1276,1030,246,0.19278996865203762
D,PAR 36 W 08 P 13,380,276,104,0.2736842105263158
D,PAR 36 W 08 P 14,545,406,139,0.25504587155963304
D,PAR 36 W 08 P 15,1291,800,491,0.3803253292021689
D,PAR 36 W 08 P 19,1324,861,463,0.3496978851963746
D,PAR 36 W 08 P 20,639,410,229,0.35837245696400627
D,PAR 36 W 08 P 21,590,311,279,0.4728813559322034
D,PAR 36 W 08 P 22,573,304,269,0.4694589877835951
D,PAR 36 W 08 P 23,628,328,300,0.47770700636942676
D,PAR 36 W 08 P 24,598,358,240,0.4013377926421405
D,PAR 36 W 08 P 25,911,567,344,0.37760702524698136
D,PAR 36 W 08 P 26,866,490,376,0.4341801385681293
D,PAR 36 W 08 P 27,865,539,326,0.376878612716763
D,PAR 36 W 08 P 28,942,491,451,0.47876857749469215
D,PAR 36 W 08 P 30,1161,757,404,0.3479758828596038
E,PAR 36 W 09 P 01,1140,827,313,0.27456140350877195
E,PAR 36 W 09 P 03,712,561,151,0.21207865168539325
E,PAR 36 W 09 P 04,547,419,128,0.2340036563071298
E,PAR 36 W 09 P 05,776,615,161,0.20747422680412372
E,PAR 36 W 09 P 06,1130,884,246,0.2176991150442478
E,PAR 36 W 09 P 07,687,520,167,0.2430858806404658
E,PAR 36 W 09 P 08,806,606,200,0.24813895781637718
C,PAR 36 W 09 P 09,550,458,92,0.16727272727272727
D,PAR 36 W 09 P 10,1222,908,314,0.2569558101472995
C,PAR 36 W 09 P 11,485,353,132,0.2721649484536082
C,PAR 36 W 09 P 12,641,472,169,0.26365054602184085
C,PAR 36 W 09 P 13,514,409,105,0.20428015564202334
C,PAR 36 W 09 P 14,467,315,152,0.32548179871520344
C,PAR 36 W 09 P 15,644,497,147,0.22826086956521738
C,PAR 36 W 09 P 16,562,433,129,0.22953736654804271
D,PAR 36 W 09 P 17,734,588,146,0.1989100817438692
C,PAR 36 W 09 P 19,899,690,209,0.2324805339265851
D,PAR 36 W 09 P 21,1097,854,243,0.22151321786690975
D,PAR 36 W 09 P 23,540,411,129,0.2388888888888889
D,PAR 36 W 09 P 25,856,687,169,0.19742990654205608
D,PAR 36 W 09 P 26,410,313,97,0.23658536585365852
D,PAR 36 W 09 P 28,564,451,113,0.20035460992907803
D,PAR 36 W 09 P 28C,680,538,142,0.2088235294117647
D,PAR 36 W 09 P 29,361,290,71,0.19667590027700832
D,PAR 36 W 09 P 30,835,580,255,0.30538922155688625
D,PAR 36 W 09 P 30A,526,324,202,0.3840304182509506
D,PAR 36 W 09 P 31,524,295,229,0.43702290076335876
D,PAR 36 W 09 P 31A,793,463,330,0.416141235813367
D,PAR 36 W 09 P 31B,490,311,179,0.3653061224489796
D,PAR 36 W 09 P 31D,771,501,270,0.35019455252918286
E,PAR 36 W 09 P 32,367,276,91,0.24795640326975477
D,PAR 36 W 09 P 33,1387,1030,357,0.25739005046863733
E,PAR 36 W 09 P 34A,758,508,250,0.32981530343007914
E,PAR 36 W 09 P 35,364,191,173,0.47527472527472525
E,PAR 36 W 09 P 35A,465,275,190,0.40860215053763443
E,PAR 36 W 09 P 36,946,624,322,0.3403805496828753
E,PAR 36 W 09 P 36B,1218,805,413,0.3390804597701149
E,PAR 36 W 09 P 37,901,521,380,0.42175360710321863
E,PAR 36 W 09 P 38,537,338,199,0.37057728119180633
E,PAR 36 W 09 P 38A,765,413,352,0.46013071895424834
E,PAR 36 W 09 P 39,1165,685,480,0.41201716738197425
E,PAR 36 W 09 P 39B,487,286,201,0.4127310061601643
E,PAR 36 W 09 P 40,695,425,270,0.38848920863309355
E,PAR 36 W 09 P 40A,1146,707,439,0.3830715532286213
E,PAR 36 W 09 P 40C,647,398,249,0.3848531684698609
E,PAR 36 W 09 P 41,1236,846,390,0.3155339805825243
E,PAR 36 W 09 P 41A,507,435,72,0.14201183431952663
E,PAR 36 W 09 P 41B,1474,1134,340,0.23066485753052918
E,PAR 36 W 09 P 41C,772,693,79,0.10233160621761658
E,PAR 36 W 09 P 41D,638,501,137,0.21473354231974923
D,PAR 36 W 09 P 42,1478,1018,460,0.3112313937753721
E,PAR 36 W 09 P 42C,1246,854,392,0.3146067415730337
E,PAR 36 W 09 P 43A,1406,942,464,0.33001422475106684
E,PAR 36 W 09 P 43B,778,548,230,0.29562982005141386
E,PAR 36 W 09 P 43C,1182,670,512,0.43316412859560066
E,PAR 36 W 09 P 43E,578,372,206,0.356401384083045
E,PAR 36 W 09 P 43F,696,438,258,0.3706896551724138
E,PAR 36 W 09 P 43G,677,342,335,0.4948301329394387
E,PAR 36 W 09 P 43H,514,363,151,0.29377431906614787
E,PAR 36 W 09 P 43I,640,361,279,0.4359375
E,PAR 36 W 09 P 43J,553,403,150,0.27124773960216997
E,PAR 36 W 09 P 43K,816,528,288,0.35294117647058826
E,PAR 36 W 09 P 43L,661,429,232,0.35098335854765506
E,PAR 36 W 09 P 43M,1179,952,227,0.19253604749787956
E,PAR 36 W 09 P 43N,781,517,264,0.3380281690140845
E,PAR 36 W 09 P 44,894,507,387,0.43288590604026844
E,PAR 36 W 09 P 44A,783,514,269,0.34355044699872284
E,PAR 36 W 09 P 44B,1241,902,339,0.2731668009669621
E,PAR 36 W 09 P 44D,1041,702,339,0.3256484149855908
E,PAR 36 W 09 P 44E,1635,842,793,0.4850152905198777
E,PAR 36 W 09 P 44F,1137,710,427,0.3755496921723835
E,PAR 36 W 09 P 44G,848,652,196,0.23113207547169812
E,PAR 36 W 09 P 44I,989,485,504,0.5096056622851365
E,PAR 36 W 09 P 44J,802,499,303,0.3778054862842893
E,PAR 36 W 09 P 44L,971,508,463,0.4768280123583934
E,PAR 36 W 09 P 44M,1064,473,591,0.5554511278195489
E,PAR 36 W 09 P 44N,946,490,456,0.4820295983086681
E,PAR 36 W 09 P 44O,1049,787,262,0.24976167778836988
E,PAR 36 W 09 P 44P,1752,900,852,0.4863013698630137
E,PAR 36 W 09 P 44Q,948,535,413,0.4356540084388186
E,PAR 36 W 09 P 45,479,394,85,0.17745302713987474
E,PAR 36 W 09 P 45A,95,69,26,0.2736842105263158
B,PAR 36 W 10 P 03,1268,997,271,0.2137223974763407
B,PAR 36 W 10 P 06,775,596,179,0.23096774193548386
B,PAR 36 W 10 P 07,502,386,116,0.23107569721115537
B,PAR 36 W 10 P 08,432,342,90,0.20833333333333334
B,PAR 36 W 10 P 09,694,494,200,0.2881844380403458
B,PAR 36 W 10 P 11,919,720,199,0.21653971708378672
B,PAR 36 W 10 P 12,564,496,68,0.12056737588652482
B,PAR 36 W 10 P 13,552,489,63,0.11413043478260869
B,PAR 36 W 10 P 14,517,426,91,0.1760154738878143
B,PAR 36 W 11 P 02,893,723,170,0.19036954087346025
B,PAR 36 W 11 P 03,495,358,137,0.2767676767676768
B,PAR 36 W 11 P 04,588,497,91,0.15476190476190477
B,PAR 36 W 11 P 05,903,725,178,0.19712070874861573
B,PAR 36 W 11 P 08,515,371,144,0.2796116504854369
B,PAR 36 W 11 P 09,1068,817,251,0.2350187265917603
B,PAR 36 W 11 P 10,873,694,179,0.20504009163802978
B,PAR 36 W 11 P 11,651,560,91,0.13978494623655913
B,PAR 36 W 11 P 12,523,443,80,0.15296367112810708
B,PAR 36 W 11 P 13,437,378,59,0.13501144164759726
B,PAR 36 W 11 P 14,1018,874,144,0.14145383104125736
B,PAR 36 W 11 P 17,766,666,100,0.13054830287206268
B,PAR 36 W 12 P 01,589,458,131,0.22241086587436332
B,PAR 36 W 12 P 02,589,480,109,0.18505942275042445
B,PAR 36 W 12 P 03,624,450,174,0.27884615384615385
B,PAR 36 W 12 P 04,473,352,121,0.2558139534883721
B,PAR 36 W 12 P 05,586,436,150,0.25597269624573377
B,PAR 36 W 12 P 06,474,361,113,0.23839662447257384
B,PAR 36 W 12 P 07,916,713,203,0.22161572052401746
B,PAR 36 W 12 P 09,537,425,112,0.2085661080074488
B,PAR 36 W 12 P 10,553,419,134,0.2423146473779385
B,PAR 36 W 12 P 11,807,642,165,0.20446096654275092
B,PAR 36 W 12 P 12,536,404,132,0.2462686567164179
B,PAR 36 W 12 P 13,402,325,77,0.19154228855721392
B,PAR 36 W 12 P 14,810,644,166,0.20493827160493827
B,PAR 36 W 12 P 16,683,532,151,0.22108345534407028
B,PAR 36 W 12 P 17,1072,817,255,0.23787313432835822
B,PAR 36 W 12 P 19,876,666,210,0.23972602739726026
B,PAR 36 W 13 P 01,479,375,104,0.21711899791231734
B,PAR 36 W 13 P 02,586,463,123,0.2098976109215017
B,PAR 36 W 13 P 03,547,439,108,0.19744058500914077
B,PAR 36 W 13 P 04,733,535,198,0.27012278308321963
B,PAR 36 W 13 P 05,673,517,156,0.23179791976225855
B,PAR 36 W 13 P 06,471,368,103,0.21868365180467092
B,PAR 36 W 13 P 07,522,414,108,0.20689655172413793
B,PAR 36 W 13 P 08,603,470,133,0.22056384742951907
B,PAR 36 W 13 P 09,616,458,158,0.2564935064935065
B,PAR 36 W 13 P 10,525,414,111,0.21142857142857144
B,PAR 36 W 13 P 11,713,589,124,0.17391304347826086
B,PAR 36 W 13 P 12,495,400,95,0.1919191919191919
B,PAR 36 W 13 P 13,485,407,78,0.16082474226804125
B,PAR 36 W 13 P 14,812,650,162,0.19950738916256158
B,PAR 36 W 13 P 15,595,442,153,0.2571428571428571
B,PAR 36 W 13 P 16,739,537,202,0.2733423545331529
A,PAR 36 W 14 P 01,561,403,158,0.2816399286987522
A,PAR 36 W 14 P 02,510,406,104,0.20392156862745098
A,PAR 36 W 14 P 03,517,406,111,0.21470019342359767
A,PAR 36 W 14 P 04,428,330,98,0.22897196261682243
A,PAR 36 W 14 P 05,480,340,140,0.2916666666666667
A,PAR 36 W 14 P 06,665,490,175,0.2631578947368421
A,PAR 36 W 14 P 07,627,485,142,0.22647527910685805
A,PAR 36 W 14 P 08,558,417,141,0.25268817204301075
A,PAR 36 W 14 P 09,607,448,159,0.26194398682042835
A,PAR 36 W 14 P 10,794,525,269,0.33879093198992444
A,PAR 36 W 14 P 11,465,383,82,0.17634408602150536
A,PAR 36 W 14 P 12,762,681,81,0.1062992125984252
A,PAR 36 W 14 P 13A,2335,2231,104,0.04453961456102784
A,PAR 36 W 14 P 14,515,381,134,0.26019417475728157
A,PAR 36 W 14 P 15,528,415,113,0.21401515151515152
A,PAR 36 W 14 P 16,909,705,204,0.22442244224422442
A,PAR 36 W 14 P 17,507,420,87,0.17159763313609466
A,PAR 36 W 14 P 18A,741,614,127,0.17139001349527666
A,PAR 36 W 14 P 19,631,492,139,0.2202852614896989
A,PAR 36 W 14 P 20,1151,796,355,0.30842745438748914
A,PAR 36 W 14 P 21,727,530,197,0.27097661623108665
B,PAR 36 W 14 P 23,592,434,158,0.2668918918918919
B,PAR 36 W 14 P 24A,830,559,271,0.3265060240963855
B,PAR 36 W 14 P 25,561,445,116,0.20677361853832443
B,PAR 36 W 14 P 26,692,567,125,0.18063583815028902
C,PAR 36 W 15 P 01,488,263,225,0.4610655737704918
C,PAR 36 W 15 P 02,1191,719,472,0.3963056255247691
C,PAR 36 W 15 P 03,619,354,265,0.4281098546042003
C,PAR 36 W 15 P 05,463,348,115,0.24838012958963282
C,PAR 36 W 15 P 06,757,526,231,0.3051519154557464
C,PAR 36 W 15 P 08,468,303,165,0.3525641025641026
C,PAR 36 W 15 P 09,696,480,216,0.3103448275862069
C,PAR 36 W 15 P 10,910,685,225,0.24725274725274726
C,PAR 36 W 15 P 11,544,442,102,0.1875
C,PAR 36 W 15 P 12,430,312,118,0.2744186046511628
C,PAR 36 W 15 P 12A,728,533,195,0.26785714285714285
C,PAR 36 W 15 P 13,771,557,214,0.2775616083009079
C,PAR 36 W 15 P 13A,898,568,330,0.3674832962138085
C,PAR 36 W 15 P 13B,922,762,160,0.1735357917570499
C,PAR 36 W 15 P 14,684,433,251,0.3669590643274854
C,PAR 36 W 15 P 14A,490,312,178,0.363265306122449
C,PAR 36 W 15 P 14B,672,411,261,0.38839285714285715
C,PAR 36 W 15 P 14C,605,396,209,0.34545454545454546
C,PAR 36 W 15 P 14D,565,473,92,0.16283185840707964
C,PAR 36 W 15 P 14E,889,664,225,0.2530933633295838
C,PAR 36 W 15 P 14F,501,287,214,0.42714570858283435
C,PAR 36 W 15 P 14G,1454,1120,334,0.2297111416781293
C,PAR 36 W 15 P 15,1005,737,268,0.26666666666666666
C,PAR 36 W 15 P 15A,746,435,311,0.4168900804289544
C,PAR 36 W 15 P 15B,645,360,285,0.4418604651162791
C,PAR 36 W 15 P 16,837,488,349,0.4169653524492234
C,PAR 36 W 15 P 17,807,504,303,0.3754646840148699
C,PAR 36 W 15 P 17A,657,419,238,0.3622526636225266
C,PAR 36 W 15 P 17B,761,457,304,0.39947437582128775
C,PAR 36 W 15 P 18,449,324,125,0.27839643652561247
C,PAR 36 W 15 P 18A,760,512,248,0.3263157894736842
C,PAR 36 W 15 P 18B,1137,837,300,0.2638522427440633
C,PAR 36 W 15 P 18C,766,499,267,0.34856396866840733
C,PAR 36 W 15 P 18D,1927,1375,552,0.28645563051375195
C,PAR 36 W 15 P 18E,1225,794,431,0.35183673469387755
C,PAR 36 W 15 P 18F,1555,1004,551,0.35434083601286176
C,PAR 36 W 15 P 19,743,532,211,0.2839838492597577
C,PAR 36 W 15 P 19A,1483,910,573,0.3863789615643965
C,PAR 36 W 15 P 19B,572,416,156,0.2727272727272727
C,PAR 36 W 15 P 19C,1316,959,357,0.2712765957446808
A,PAR 36 W 16 P 01,488,378,110,0.22540983606557377
A,PAR 36 W 16 P 01A,457,359,98,0.21444201312910285
A,PAR 36 W 16 P 02,647,491,156,0.241112828438949
A,PAR 36 W 16 P 03,701,558,143,0.20399429386590584
A,PAR 36 W 16 P 04,714,557,157,0.21988795518207283
A,PAR 36 W 16 P 05,563,421,142,0.2522202486678508
A,PAR 36 W 16 P 06,876,684,192,0.2191780821917808
A,PAR 36 W 16 P 07,585,411,174,0.29743589743589743
A,PAR 36 W 16 P 08,559,406,153,0.2737030411449016
B,PAR 36 W 16 P 09,476,384,92,0.19327731092436976
A,PAR 36 W 17 P 01,507,390,117,0.23076923076923078
A,PAR 36 W 17 P 02,447,366,81,0.18120805369127516
A,PAR 36 W 17 P 03,690,570,120,0.17391304347826086
A,PAR 36 W 17 P 04,475,389,86,0.18105263157894738
A,PAR 36 W 17 P 05,708,568,140,0.1977401129943503
A,PAR 36 W 17 P 06,787,653,134,0.17026683608640406
A,PAR 36 W 17 P 07,808,610,198,0.24504950495049505
A,PAR 36 W 17 P 08,593,487,106,0.178752107925801
A,PAR 36 W 17 P 09,646,507,139,0.21517027863777088
A,PAR 36 W 17 P 10,570,463,107,0.18771929824561404
A,PAR 36 W 17 P 11,597,472,125,0.20938023450586266
A,PAR 36 W 17 P 12,495,389,106,0.21414141414141413
A,PAR 36 W 17 P 13,498,402,96,0.1927710843373494
A,PAR 36 W 17 P 13A,398,337,61,0.15326633165829145
A,PAR 36 W 17 P 14,934,731,203,0.21734475374732334
A,PAR 36 W 17 P 15,617,474,143,0.23176661264181522
A,PAR 36 W 17 P 16,610,480,130,0.21311475409836064
A,PAR 36 W 17 P 17,583,326,257,0.44082332761578047
A,PAR 36 W 17 P 18,653,442,211,0.3231240428790199
A,PAR 36 W 17 P 18A,937,594,343,0.3660618996798292
A,PAR 36 W 17 P 19,1078,652,426,0.39517625231910947
A,PAR 36 W 17 P 20,1559,897,662,0.4246311738293778
